timestamp,RPM,THROTTLE_POS,SPEED,FUEL_PRESSURE,ENGINE_LOAD,COOLANT_TEMP,INTAKE_TEMP,TIMING_ADVANCE,MAF,INTAKE_PRESSURE,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,SHORT_FUEL_TRIM_2,LONG_FUEL_TRIM_2,COMMANDED_EQUIV_RATIO,FUEL_TYPE,O2_B1S2,O2_B2S2,O2_S1_WR_VOLTAGE,COMMANDED_EGR
2025-05-14T16:22:37.795227,861.0,12.941176470588236,40.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:22:38.799056,639.5,13.72549019607843,35.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:22:39.800125,1799.25,14.509803921568627,31.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:22:40.802538,1673.25,15.686274509803921,28.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:22:41.807409,1578.5,20.392156862745097,28.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:22:42.812434,1790.0,21.568627450980394,33.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:22:43.817431,2032.5,23.92156862745098,37.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:22:44.822436,2293.75,24.313725490196077,41.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:22:45.827457,2473.25,22.352941176470587,45.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:22:46.832500,2511.0,16.470588235294116,44.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:22:47.834436,2463.0,18.823529411764707,44.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:22:48.839417,2499.5,19.215686274509803,44.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:22:49.844445,2391.25,15.294117647058824,42.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:22:50.849474,2153.0,14.901960784313726,37.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:22:51.852121,1895.75,14.509803921568627,33.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:22:52.856725,1010.0,12.941176470588236,31.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
